!	משתמש:צלף/!
!	סימן קריאה
!!	!!
!!	תבנית:!!
.ps	סיומת אינטרנט#טבלת סיומות המדינות
.qa	.qa
.ru	סיומת אינטרנט#טבלת סיומות המדינות
.sa	.sa
.th	.th
.tk	.tk
.tm	סיומת אינטרנט#טבלת סיומות המדינות
.to	.to
.tv	.tv
.uk	.uk
.us	.us
.xxx	.xxx
.ye	.ye
.za	.za
0	0
0	קטגוריה:אפס
0.999...	0.999...
01 - Dirrty.jpg	קובץ:Christina Aguilera - Dirrty CD cover.jpg
0s BC	1-9 לפנה"ס
1	1
1	קטגוריה:יחידה
1 + 2 + 3 + 4 + ⋯	טור המספרים הטבעיים
1 Esdras	עזרא החיצוני
1 Maccabees	ספר מקבים א
1 euro coin	1 אירו
1 vs. 100	1 נגד 100
1% rule	כלל ה 90-9-1
1+1	ערוץ 1+1
1,000 Places to See Before You Die	1,000 מקומות מופלאים לראות לפני שנמות
1,000,000,000	מיליארד
1,2-Dichloroethane	דוכלורואתאן
1,3-Butadiene	בוטאדיאן-1,3
1,8-Bis(dimethylamino)naphthalene	ספוג פרוטונים
1-555-confide	User:1-555-confide
1-Propanol	1-פרופנול
1. FC Heidenheim	פ.צ היידנהיים
1. FC Kaiserslautern	פ.צ. קייזרסלאוטרן
1. FC Kaiserslautern managers	קטגוריה:מאמני פ.צ. קייזרסלאוטרן
1. FC Kaiserslautern players	קטגוריה:כדורגלני קייזרסלאוטרן
1. FC Köln	פ.צ. קלן
1. FC Köln managers	קטגוריה:מאמני פ.צ. קלן
1. FC Köln players	קטגוריה:כדורגלני פ.צ. קלן
1. FC Lokomotive Leipzig players	קטגוריה:כדורגלני לוקומוטיב לייפציג
1. FC Magdeburg	פ.צ. מגדבורג
1. FC Magdeburg players	קטגוריה:כדורגלני פ.צ. מגדבורג
1. FC Nürnberg	נירנברג
1. FC Nürnberg managers	קטגוריה:מאמני נירנברג
1. FC Nürnberg players	קטגוריה:כדורגלני נירנברג
1. FC Saarbrücken players	קטגוריה:כדורגלני פ.צ. זארבריקן
1. FC Union Berlin	אוניון ברלין
1. FC Union Berlin players	קטגוריה:כדורגלני אוניון ברלין
1. FFC Frankfurt	מועדון כדורגל פרנקפורט
1. FFC Turbine Potsdam	טורבין פוטסדם
1. FSV Mainz 05	מיינץ 05
1. FSV Mainz 05 players	קטגוריה:כדורגלני מיינץ 05
10	10
10 Downing Street	דאונינג 10
10 Hygiea	היגיאה
10 Things I Hate About You	10 דברים שאני שונאת אצלך
10 Upper Bank Street	רחוב בנק העליון 10
10 agorot controversy	מטבע 10 אגורות
10 cent euro coin	10 אירו-סנט
10,000 Days	10,000 Days
10,000 Maniacs	10,000 מניאקים
10,000 metres	ריצת 10,000 מטר
100	100
100 Greatest Britons	100 הבריטים הגדולים
100 Miles and Runnin'	100 Miles and Runnin'
100 Squadron	טייסת 100
100 Things to Do Before High School	100 דברים להספיק עד התיכון
100 metres	ריצת 100 מטר
100 metres freestyle	100 מטר חופשי
100 metres hurdles	ריצת 100 מטר משוכות
1000	1000
1000 Forms of Fear	1000 Forms Of Fear
1000 Genomes Project	מיזם אלף הגנומים
1000 Ways to Die	1000 דרכים למות
10000	רבבה
100000	100000
1001	1001
1002	1002
1003	1003
1004	1004
1005	1005
1006	1006
1007	1007
1008	1008
1009	1009
100s BC	100-109 לפנה"ס
101	101
101 Dalmatians	101 כלבים וגנבים
101 Dalmatians II: Patch's London Adventure	על כלבים וגנבים 2
101 Squadron	טייסת 101
1010	1010
1011	1011
1012	1012
1013	1013
1014	1014
1015	1015
1016	1016
1017	1017
1018	1018
1019	1019
101955 Bennu	בנו
101st Airborne Division	הדיוויזיה המוטסת ה-101
102	102
102 Dalmatians	102 כלבים וגנבים
102 Squadron	טייסת 102
1020	1020
1021	1021
1022	1022
1023	1023
1024	1024
1025	1025
1026	1026
1027	1027
1028	1028
1029	1029
103	103
103 Squadron	טייסת 103
1030	1030
1031	1031
1032	1032
1033	1033
1033 Fez massacre	הטבח ביהודי פאס
1034	1034
1035	1035
1036	1036
1037	1037
1038	1038
1039	1039
104	104
1040	1040
1041	1041
1042	1042
1043	1043
1044	1044
1045	1045
1046	1046
1047	1047
1048	1048
1049	1049
105	105
105 Squadron	טייסת 105
1050	1050
1051	1051
1052	1052
1053	1053
1054	1054
1055	1055
1056	1056
1057	1057
1058	1058
1059	1059
106	106
106 Squadron	טייסת 106
1060	1060
1061	1061
1062	1062
1063	1063
1064	1064
1065	1065
1066	1066
1066 Granada massacre	פרעות גרנדה
1067	1067
1068	1068
1069	1069
107	107
107 Squadron	טייסת 107
1070	1070
1071	1071
1072	1072
1073	1073
1074	1074
1075	1075
1076	1076
1077	1077
1078	1078
1079	1079
108	108
1080	1080
1081	1081
1082	1082
1083	1083
1084	1084
1085	1085
1086	1086
1087	1087
1088	1088
1089	1089
109	109
109	שיבויה 109
109 Squadron	טייסת 109
1090	1090
1091	1091
1092	1092
1093	1093
1094	1094
1095	1095
1096	1096
1097	1097
1098	1098
1099	1099
10Command56.jpg	קובץ:10Command56.jpg
10cc	10cc
10s BC	10-19 לפנה"ס
10th Army	הארמייה העשירית
10th Chess Olympiad	אולימפיאדת השחמט 1952
10th Duke of Marlborough John Spencer-Churchill	הדוכס העשירי ממרלבורו ג'ון ספנסר-צ'רצ'יל
10th Earl of Cavan Rudolph Lambart	רודולף למברט
10th Earl of Dundonald Thomas Cochrane	תומאס קוקרן
10th Indian Infantry Division	דיוויזיית הרגלים ההודית ה-10
10th Knesset	קטגוריה:הכנסת העשירית
10th Mountain Division	הדיוויזיה ההררית העשירית
10th SS Panzer Division Frundsberg	דיוויזיית פאנצר אס אס העשירית
10th arrondissement of Paris	הרובע העשירי של פריז
10th arrondissement of Paris	קטגוריה:הרובע העשירי של פריז
10th century	המאה ה-10
10th century	קטגוריה:המאה ה-10
10th century BC	המאה ה-10 לפנה"ס
10th century BC	קטגוריה:המאה ה-10 לפנה"ס
10th-century books	קטגוריה:ספרי המאה ה-10
10th-century popes	קטגוריה:אפיפיורים במאה ה-10
10th-century works	קטגוריה:יצירות המאה ה-10
11	11
11 Nissan	י"א בניסן
11 bit studios	11 bit studios
11 points in the Negev	11 הנקודות
110	110
110 Herculis	110 בהרקולס
110 Squadron	טייסת 110
110 metres hurdles	ריצת 110 מטר משוכות
1100	1100
1101	1101
1102	1102
1103	1103
1104	1104
1105	1105
1106	1106
1107	1107
1108	1108
1109	1109
110s BC	110-119 לפנה"ס
110th Street	רחוב 110
111	111
1110	1110
1111	1111
1112	1112
1113	1113
1114	1114
1115	1115
1116	1116
1117	1117
1118	1118
1119	1119
112	112
1120	1120
1121	1121
1122	1122
1123	1123
1124	1124
1125	1125
1126	1126
1127	1127
1128	1128
1129	1129
113	113
113 Squadron	טייסת 113
1130	1130
1131	1131
1132	1132
1133	1133
1134	1134
1135	1135
1136	1136
1137	1137
1138	1138
1138 Aleppo earthquake	רעידת האדמה בחלב
1139	1139
113th United States Congress	הקונגרס ה-113 של ארצות הברית
114	114
114 Squadron	טייסת 114
1140	1140
1141	1141
1142	1142
1143	1143
1144	1144
1145	1145
1146	1146
1147	1147
1148	1148
1149	1149
114th United States Congress	הקונגרס ה-114 של ארצות הברית
115	115
115 Squadron	טייסת 115
1150	1150
1151	1151
1152	1152
1153	1153
1154	1154
1155	1155
1156	1156
1157	1157
1158	1158
1159	1159
116	116
116 Squadron	טייסת 116
1160	1160
1161	1161
1162	1162
1163	1163
1164	1164
1165	1165
1166	1166
1167	1167
1168	1168
1169	1169
117	117
117 Squadron	טייסת 117
1170	1170
1171	1171
1172	1172
1173	1173
1174	1174
1175	1175
1176	1176
1177	1177
1178	1178
1179	1179
118	118
118 Squadron	טייסת 118
1180	1180
1181	1181
1182	1182
1183	1183
1184	1184
1185	1185
1186	1186
1187	1187
1188	1188
1189	1189
119	119
119 Squadron	טייסת 119
119 Tauri	119 בשור
1190	1190
1191	1191
1192	1192
1193	1193
1194	1194
1195	1195
1196	1196
1197	1197
1198	1198
1199	1199
11th Army	הארמייה ה-11
11th Chess Olympiad	אולימפיאדת השחמט 1954
11th Duke of Marlborough John Spencer-Churchill	הדוכס האחד-עשר ממרלבורו ג'ון ספנסר-צ'רצ'יל
11th Knesset	קטגוריה:הכנסת האחת עשרה
11th Prince of Ligne Eugène	איז'ן השני לבית לינייה
11th SS Volunteer Panzergrenadier Division Nordland	דיוויזיית פאנצרגרנדיר אס אס ה-11
11th arrondissement of Paris	הרובע האחד עשר של פריז
11th arrondissement of Paris	קטגוריה:הרובע האחד עשר של פריז
11th century	המאה ה-11
11th century	קטגוריה:המאה ה-11
11th century BC	המאה ה-11 לפנה"ס
11th-century books	קטגוריה:ספרי המאה ה-11
11th-century popes	קטגוריה:אפיפיורים במאה ה-11
11th-century works	קטגוריה:יצירות המאה ה-11
12	12
12 Angry Men	12 המושבעים
12 Hours of Sebring	מרוץ 12 השעות של סברינג
12 Monkeys	12 קופים
12 Years a Slave	12 שנים של עבדות
12 basic principles of animation	12 עקרונות האנימציה
12 months of the Hebrew calendar	תבנית:חודשים עבריים
12-hour clock	שעון בן 12 שעות
12.8 cm FlaK 40	תותח נ"מ 128
120	120
120 Squadron	טייסת 120
120 Wall Street	וול סטריט 120
1200	1200
1200 Micrograms	1200 Micrograms
1201	1201
1202	1202
1203	1203
1204	1204
1205	1205
1206	1206
1207	1207
1208	1208
1209	1209
120s BC	120-129 לפנה"ס
121	121
1210	1210
1211	1211
1212	1212
1213	1213
1214	1214
1215	1215
1216	1216
1217	1217
1218	1218
1219	1219
122	122
122 Squadron	טייסת 122
1220	1220
1221	1221
1222	1222
1223	1223
1224	1224
1225	1225
1226	1226
1227	1227
1228	1228
1229	1229
123	123
123 Squadron	טייסת 123
1230	1230
1231	1231
1232	1232
1233	1233
1234	1234
1235	1235
1236	1236
1237	1237
1238	1238
1239	1239
124	124
124 Squadron	טייסת 124
1240	1240
1241	1241
1242	1242
1243	1243
1244	1244
1245	1245
1246	1246
1247	1247
1248	1248
1249	1249
125	125
125 Squadron	טייסת 125
1250	1250
1251	1251
1251 Avenue of the Americas	שדרת האמריקות 1251
1252	1252
1253	1253
1254	1254
1255	1255
1256	1256
1257	1257
1258	1258
1259	1259
125th Street	רחוב 125
126	126
1260	1260
1261	1261
1262	1262
1263	1263
1264	1264
1265	1265
1266	1266
1267	1267
1268	1268
1269	1269
127	127
127 Hours	127 שעות
1270	1270
1271	1271
1272	1272
1273	1273
1274	1274
1275	1275
1276	1276
1277	1277
1278	1278
1279	1279
128	128
128.12.169.103	מרחב היפרבולי
1280	1280
1281	1281
1282	1282
1283	1283
1284	1284
1285	1285
1286	1286
1287	1287
1288	1288
1289	1289
129	129
1290	1290
1291	1291
1292	1292
1293	1293
1294	1294
1295	1295
1296	1296
1297	1297
1298	1298
1299	1299
12Memoriesalbumcover.jpg	קובץ:12Memoriesalbumcover.jpg
12onetwothreefour/anti mass	אנטי-חומר
12th Army	הארמייה ה-12
12th Chess Olympiad	אולימפיאדת השחמט 1956
12th Knesset	קטגוריה:הכנסת השתים עשרה
12th SS Panzer Division Hitlerjugend	דיוויזיית פאנצר אס אס היטלריוגנד
12th arrondissement of Paris	הרובע השנים-עשר של פריז
12th arrondissement of Paris	קטגוריה:הרובע השנים-עשר של פריז
12th century	המאה ה-12
12th century	קטגוריה:המאה ה-12
12th century BC	המאה ה-12 לפנה"ס
12th-century books	קטגוריה:ספרי המאה ה-12
12th-century popes	קטגוריה:אפיפיורים במאה ה-12
12th-century works	קטגוריה:יצירות המאה ה-12
13	13
13 Going on 30	פתאום 30
13 Hours: The Secret Soldiers of Benghazi	13 שעות: החיילים הסודיים של בנגאזי
13 Kohanic cities	ערי הכהנים
13 Kohanic cities	קטגוריה:ערי הכהנים
130	130
1300	1300
1301	1301
1302	1302
1303	1303
1304	1304
1305	1305
1306	1306
1307	1307
1308	1308
1309	1309
130s BC	130-139 לפנה"ס
131	131
131 Squadron	טייסת 131
1310	1310
1311	1311
1312	1312
1313	1313
1314	1314
1315	1315
1316	1316
1317	1317
1318	1318
1319	1319
132	132
1320	1320
1321	1321
1321 leper scare	בהלת המצורעים
1322	1322
1323	1323
1324	1324
1325	1325
1326	1326
1327	1327
1328	1328
1329	1329
132nd Armoured Division Ariete	דיוויזיית השריון אריאטה
133	133
133 Squadron	טייסת 133
1330	1330
1331	1331
1332	1332
1333	1333
1334	1334
1335	1335
1336	1336
1337	1337
1338	1338
1339	1339
134	134
1340	1340
1341	1341
1342	1342
1343	1343
1344	1344
1345	1345
1346	1346
1347	1347
1348	1348
1349	1349
135	135
135 Squadron	טייסת 135
1350	1350
1351	1351
1352	1352
1353	1353
1354	1354
1355	1355
1356	1356
1357	1357
1358	1358
1359	1359
136	136
1360	1360
1361	1361
1362	1362
1363	1363
1364	1364
1365	1365
1366	1366
1367	1367
1368	1368
1369	1369
137	137
1370	1370
1371	1371
1372	1372
1373	1373
1374	1374
1375	1375
1376	1376
1377	1377
1378	1378
1379	1379
138	138
1380	1380
1381	1381
1382	1382
1383	1383
1384	1384
1385	1385
1386	1386
1387	1387
1388	1388
1389	1389
139	139
1390	1390
1391	1391
1392	1392
1393	1393
1394	1394
1395	1395
1396	1396
1397	1397
1398	1398
1399	1399
13th Chess Olympiad	אולימפיאדת השחמט 1958
13th Dalai Lama	טובטן גיאטסו
13th Knesset	קטגוריה:הכנסת השלוש עשרה
13th Waffen Mountain Division of the SS Handschar	דיוויזיית אס אס הררית ה-13
13th arrondissement of Paris	הרובע השלושה-עשר של פריז
13th arrondissement of Paris	קטגוריה:הרובע השלושה-עשר של פריז
13th century	המאה ה-13
13th century	קטגוריה:המאה ה-13
13th century BC	המאה ה-13 לפנה"ס
13th-century books	קטגוריה:ספרי המאה ה-13
13th-century popes	קטגוריה:אפיפיורים במאה ה-13
13th-century works	קטגוריה:יצירות המאה ה-13
14	14
14 Wall Street	וול סטריט 14
14 regions of Augustan Rome	רובעי רומא בתקופת אוגוסטוס
140	140
140 Squadron	טייסת 140
1400	1400
1401	1401
1402	1402
14025 Fallada	פאלאדה
1403	1403
1404	1404
1405	1405
1406	1406
1407	1407
1408	1408
1409	1409
140s BC	140-149 לפנה"ס
141	141
1410	1410
1411	1411
1412	1412
1413	1413
1414	1414
1415	1415
1416	1416
1417	1417
1418	1418
1418	משתמש:Scc
1419	1419
142	142
1420	1420
1421	1421
1422	1422
1423	1423
1424	1424
1425	1425
1426	1426
1427	1427
1428	1428
1429	1429
143	143
143 Records	תקליטי 143
1430	1430
1431	1431
1432	1432
1433	1433
1434	1434
1435	1435
1436	1436
1437	1437
1438	1438
1439	1439
144	144
1440	1440
1441	1441
1442	1442
1443	1443
1444	1444
1445	1445
1446	1446
1447	1447
1448	1448
1449	1449
145	145
1450	1450
1451	1451
1452	1452
1453	1453
1454	1454
1455	1455
1456	1456
1457	1457
1458	1458
1459	1459
146	146
1460	1460
1461	1461
1462	1462
1463	1463
1464	1464
1465	1465
1465 Moroccan revolt	הטבח ביהודי פאס
1466	1466
1467	1467
1468	1468
1469	1469
147	147
147 Squadron	טייסת 147
1470	1470
1471	1471
1472	1472
1473	1473
1474	1474
1475	1475
1476	1476
1477	1477
1478	1478
1479	1479
148	148
1480	1480
1481	1481
1482	1482
1483	1483
1484	1484
1485	1485
1486	1486
1487	1487
1488	1488
1489	1489
149	149
149 Squadron	טייסת 149
1490	1490
1491	1491
1492	1492
1492: Conquest of Paradise	1492: מעבר לאופק
1493	1493
1494	1494
1495	1495
1496	1496
1497	1497
1498	1498
1499	1499
14magnust/sandbox	חואן מאטה
14th Army	הארמייה ה-14
14th Chess Olympiad	אולימפיאדת השחמט 1960
14th Dalai Lama	טנזין גיאטסו
14th Earl of Derby Edward Smith-Stanley	אדוארד סמית-סטנלי
14th Knesset	קטגוריה:הכנסת הארבע עשרה
14th arrondissement of Paris	הרובע הארבעה-עשר של פריז
14th arrondissement of Paris	קטגוריה:הרובע הארבעה-עשר של פריז
14th century	המאה ה-14
14th century	קטגוריה:המאה ה-14
14th century BC	המאה ה-14 לפנה"ס
14th-century books	קטגוריה:ספרי המאה ה-14
14th-century paintings	קטגוריה:ציורים מהמאה ה-14
14th-century popes	קטגוריה:אפיפיורים במאה ה-14
14th-century works	קטגוריה:יצירות המאה ה-14
15	15
15 minutes of fame	חמש עשרה דקות של תהילה
15 puzzle	חידת ה-15
150	150
1500	1500
1500 metres	ריצת 1500 מטר
1500s	קטגוריה:שנות ה-1500
1500s works	קטגוריה:ספרי שנות ה-1500
1501	1501
1501 Broadway	ברודוויי 1501
1502	1502
1503	1503
1504	1504
1505	1505
1506	1506
1507	1507
1508	1508
1509	1509
150s BC	150-159 לפנה"ס
151	151
1510	1510
1510s	קטגוריה:שנות ה-1510
1510s works	קטגוריה:ספרי שנות ה-1510
1511	1511
1512	1512
1513	1513
1514	1514
1515	1515
1516	1516
1517	1517
1518	1518
1519	1519
152	152
1520	1520
1520s	קטגוריה:שנות ה-1520
1520s works	קטגוריה:ספרי שנות ה-1520
1521	1521
1522	1522
1523	1523
1524	1524
1525	1525
1526	1526
1527	1527
1528	1528
1529	1529
153	153
1530	1530
1531	1531
1532	1532
1533	1533
1534	1534
1535	1535
1536	1536
1537	1537
1538	1538
1539	1539
154	154
1540	1540
1540s	קטגוריה:שנות ה-1540
1540s works	קטגוריה:ספרי שנות ה-1540
1541	1541
1542	1542
1543	1543
1544	1544
1545	1545
1546	1546
1547	1547
1548	1548
1549	1549
155	155
1550	1550
1550s	קטגוריה:שנות ה-1550
1550s works	קטגוריה:ספרי שנות ה-1550
1551	1551
1552	1552
1553	1553
1554	1554
1555	1555
1556	1556
1556 Shaanxi earthquake	רעידת האדמה בשאאנשי
1557	1557
1558	1558
1559	1559
156	156
1560	1560
1560s	קטגוריה:שנות ה-1560
1560s works	קטגוריה:ספרי שנות ה-1560
1561	1561
1562	1562
1563	1563
1564	1564
1565	1565
1566	1566
1567	1567
1568	1568
1569	1569
157	157
1570	1570
1570s	קטגוריה:שנות ה-1570
1570s works	קטגוריה:ספרי שנות ה-1570
1571	1571
1572	1572
1573	1573
1574	1574
1575	1575
1576	1576
1577	1577
1578	1578
1579	1579
158	158
1580	1580
1580s	קטגוריה:שנות ה-1580
1580s works	קטגוריה:ספרי שנות ה-1580
1581	1581
1582	1582
1583	1583
1584	1584
1585	1585
1586	1586
1587	1587
1588	1588
1589	1589
159	159
1590	1590
1590s	קטגוריה:שנות ה-1590
1590s works	קטגוריה:ספרי שנות ה-1590
1591	1591
1592	1592
1593	1593
1594	1594
1595	1595
1596	1596
1597	1597
1597	קטגוריה:1597
1597 in music	1597 במוזיקה
1598	1598
1599	1599
15th Army	הארמייה ה-15
15th Chess Olympiad	אולימפיאדת השחמט 1962
15th Knesset	קטגוריה:הכנסת החמש עשרה
15th Lord Lovat Simon Fraser	לורד לובאט ה-15 סיימון פרייסר
15th Special Forces Division	דיוויזיית הכוחות המיוחדים ה-15
15th arrondissement of Paris	הרובע החמישה-עשר של פריז
15th arrondissement of Paris	קטגוריה:הרובע החמישה-עשר של פריז
15th century	המאה ה-15
15th century	קטגוריה:המאה ה-15
15th century BC	המאה ה-15 לפנה"ס
15th-century books	קטגוריה:ספרי המאה ה-15
15th-century paintings	קטגוריה:ציורים מהמאה ה-15
15th-century popes	קטגוריה:אפיפיורים במאה ה-15
15th-century works	קטגוריה:יצירות המאה ה-15
16	16
16 May 1877 crisis	המשבר ב- 16 במאי 1877
16 Wishes	16 משאלות
160	160
160 Squadron	טייסת 160
1600	1600
1600s	קטגוריה:שנות ה-1600
1600s works	קטגוריה:ספרי שנות ה-1600
1601	1601
1602	1602
1603	1603
1604	1604
1605	1605
1606	1606
1607	1607
1608	1608
1609	1609
160s BC	160-169 לפנה"ס
160th Special Operations Aviation Regiment	החטיבה האווירית למבצעים מיוחדים 160
161	161
161 Squadron	טייסת 161
1610	1610
1610s	קטגוריה:שנות ה-1610
1610s works	קטגוריה:ספרי שנות ה-1610
1611	1611
1612	1612
1613	1613
1614	1614
1615	1615
1616	1616
1617	1617
1618	1618
1619	1619
162	162
1620	1620
1620s	קטגוריה:שנות ה-1620
1620s works	קטגוריה:ספרי שנות ה-1620
1621	1621
162173 Ryugu	ריוגו
1622	1622
1623	1623
1624	1624
1625	1625
1626	1626
1627	1627
1628	1628
1629	1629
162nd Division	עוצבת הפלדה
163	163
1630	1630
1630s	קטגוריה:שנות ה-1630
1630s works	קטגוריה:ספרי שנות ה-1630
1631	1631
1632	1632
1633	1633
1634	1634
1635	1635
1636	1636
1637	1637
1638	1638
1639	1639
163rd Infantry Division	הדיוויזיה ה-163
164	164
1640	1640
1640s	קטגוריה:שנות ה-1640
1640s works	קטגוריה:ספרי שנות ה-1640
1641	1641
1642	1642
1643	1643
1644	1644
1645	1645
1645 books	קטגוריה:ספרי 1645
1645 works	קטגוריה:יצירות משנת 1645
1646	1646
1647	1647
1648	1648
1649	1649
165	165
1650	1650
1650s	קטגוריה:שנות ה-1650
1650s works	קטגוריה:ספרי שנות ה-1650
1651	1651
1651 books	קטגוריה:ספרי 1651
1652	1652
1653	1653
1654	1654
1655	1655
1656	1656
1657	1657
1658	1658
1659	1659
166	166
166 Squadron	טייסת 166
1660	1660
1660s	קטגוריה:שנות ה-1660
1660s works	קטגוריה:ספרי שנות ה-1660
1661	1661
1662	1662
1663	1663
1664	1664
1665	1665
1666	1666
1667	1667
1668	1668
1669	1669
167	167
1670	1670
1670s	קטגוריה:שנות ה-1670
1670s works	קטגוריה:ספרי שנות ה-1670
1671	1671
1672	1672
1673	1673
1674	1674
1675	1675
1676	1676
1677	1677
1678	1678
1679	1679
168	168
1680	1680
1680s	קטגוריה:שנות ה-1680
1680s works	קטגוריה:ספרי שנות ה-1680
1681	1681
1682	1682
1683	1683
1684	1684
1685	1685
1686	1686
1687	1687
1688	1688
1689	1689
169	169
1690	1690
1690s	קטגוריה:שנות ה-1690
1690s works	קטגוריה:ספרי שנות ה-1690
1691	1691
1692	1692
1693	1693
1694	1694
1695	1695
1696	1696
1697	1697
1698	1698
1699	1699
16PF Questionnaire	שאלון 16 גורמי האישיות של קטל
16TeamBracket-2Leg	תבנית:16קבוצות
16th Army	הארמייה ה-16
16th Chess Olympiad	אולימפיאדת השחמט 1964
16th Earl of Derby Frederick Stanley	הרוזן ה-16 מדרבי פרדריק סטנלי
16th Knesset	קטגוריה:הכנסת השש עשרה
16th Rifle Division	דיוויזיית הרגלים ה-16
16th arrondissement of Paris	הרובע השישה-עשר של פריז
16th arrondissement of Paris	קטגוריה:הרובע השישה-עשר של פריז
16th century	המאה ה-16
16th century	קטגוריה:המאה ה-16
16th century BC	המאה ה-16 לפנה"ס
16th century in music	קטגוריה:שנים במוזיקה - המאה ה-16
16th-century books	קטגוריה:ספרי המאה ה-16
16th-century paintings	קטגוריה:ציורים מהמאה ה-16
16th-century plays	קטגוריה:מחזות מהמאה ה-16
16th-century popes	קטגוריה:אפיפיורים במאה ה-16
16th-century ships	קטגוריה:אוניות מהמאה ה-16
16th-century songs	קטגוריה:שירי המאה ה-16
16th-century treaties	קטגוריה:חוזים והסכמים במאה ה-16
16th-century works	קטגוריה:יצירות המאה ה-16
17	17
17 Again	שוב בן 17
170	170
1700	1700
1700s plays	קטגוריה:מחזות מהמאה ה-18
1701	1701
1701	קטגוריה:1701
1701 in literature	1701 בספרות
1702	1702
1703	1703
1704	1704
1705	1705
1706	1706
1707	1707
1707	קטגוריה:1707
1708	1708
1709	1709
1709	קטגוריה:1709
1709 in literature	1709 בספרות
170s BC	170-179 לפנה"ס
171	171
1710	1710
1710	קטגוריה:1710
1710 in literature	1710 בספרות
1710s	קטגוריה:שנות ה-1710
1710s books	קטגוריה:ספרי שנות ה-1710
1711	1711
1712	1712
1713	1713
1714	1714
1715	1715
1716	1716
1717	1717
1718	1718
1719	1719
172	172
1720	1720
1720s	קטגוריה:שנות ה-1720
1720s books	קטגוריה:ספרי שנות ה-1720
1721	1721
1722	1722
1723	1723
1724	1724
1725	1725
1726	1726
1727	1727
1728	1728
1729	1729
173	173
1730	1730
1730s	קטגוריה:שנות ה-1730
1730s books	קטגוריה:ספרי שנות ה-1730
1731	1731
1731 books	קטגוריה:ספרי 1731
1732	1732
1733	1733
1734	1734
1735	1735
1736	1736
1737	1737
1738	1738
1739	1739
173rd Airborne Brigade Combat Team	חטיבת הצנחנים ה-173
174	174
1740	1740
1740s	קטגוריה:שנות ה-1740
1740s books	קטגוריה:ספרי שנות ה-1740
1741	1741
1742	1742
1743	1743
1744	1744
1745	1745
1746	1746
1747	1747
1748	1748
1748 in archaeology	1748 בארכיאולוגיה
1749	1749
175	175
1750	1750
1750s	קטגוריה:שנות ה-1750
1750s books	קטגוריה:ספרי שנות ה-1750
1751	1751
1752	1752
1753	1753
1754	1754
1755	1755
1755 Lisbon earthquake	רעידת האדמה בליסבון
1756	1756
1756	קטגוריה:1756
1756 in music	1756 במוזיקה
1757	1757
1758	1758
1759	1759
1759 books	קטגוריה:ספרי 1759
176	176
1760	1760
1760s	קטגוריה:שנות ה-1760
1760s books	קטגוריה:ספרי שנות ה-1760
1761	1761
1762	1762
1763	1763
1764	1764
1765	1765
1766	1766
1767	1767
1768	1768
1768 books	קטגוריה:ספרי 1768
1769	1769
177	177
1770	1770
1770s	קטגוריה:שנות ה-1770
1770s books	קטגוריה:ספרי שנות ה-1770
